coin,method,side,entry_dt,entry,exit_dt,exit,reason,pnl_pct,pnl_usd
ETH,QR7_A,S,2025-09-05T01:35:00.000,4315.33,2025-09-05T01:40:00.000,4326.3911878605095,SL,-0.3563,-8.91
ETH,QR7_A,S,2025-09-05T01:50:00.000,4324.11,2025-09-05T02:15:00.000,4309.030426049301,VWAP,0.2487,6.22
ETH,QR7_A,S,2025-09-05T05:15:00.000,4333.29,2025-09-05T07:00:00.000,4345.617415238139,SL,-0.3845,-9.61
ETH,QR7_A,S,2025-09-05T08:00:00.000,4415.0,2025-09-05T12:30:00.000,4465.223822772918,SL,-1.2376,-30.94
ETH,QR7_A,L,2025-09-05T14:40:00.000,4284.8,2025-09-05T23:55:00.000,4305.71,EOD,0.388,9.7
ETH,QR7_A,L,2025-09-06T04:35:00.000,4302.98,2025-09-06T05:20:00.000,4295.0038230395085,SL,-0.2854,-7.13
ETH,QR7_A,L,2025-09-06T05:30:00.000,4296.0,2025-09-06T07:45:00.000,4308.136881645945,VWAP,0.1825,4.56
ETH,QR7_A,L,2025-09-06T10:25:00.000,4288.02,2025-09-06T12:10:00.000,4304.018747945345,VWAP,0.2731,6.83
ETH,QR7_A,L,2025-09-06T15:10:00.000,4286.45,2025-09-06T15:10:00.000,4269.983944089819,SL,-0.4841,-12.1
ETH,QR7_A,L,2025-09-06T15:20:00.000,4276.55,2025-09-06T16:20:00.000,4253.614958054312,SL,-0.6363,-15.91
ETH,QR7_A,S,2025-09-07T01:10:00.000,4291.28,2025-09-07T01:45:00.000,4300.400614860046,SL,-0.3125,-7.81
ETH,QR7_A,S,2025-09-07T07:40:00.000,4300.42,2025-09-07T07:55:00.000,4290.6343023780155,VWAP,0.1276,3.19
ETH,QR7_A,S,2025-09-07T08:30:00.000,4306.98,2025-09-07T09:30:00.000,4294.18375320077,VWAP,0.1971,4.93
ETH,QR7_A,L,2025-09-07T17:10:00.000,4284.15,2025-09-07T18:40:00.000,4267.498162602985,SL,-0.4887,-12.22
ETH,QR7_A,L,2025-09-08T01:05:00.000,4292.77,2025-09-08T01:15:00.000,4286.113385311517,SL,-0.2551,-6.38
ETH,QR7_A,L,2025-09-08T01:25:00.000,4286.4,2025-09-08T02:30:00.000,4295.1537475557725,VWAP,0.1042,2.61
ETH,QR7_A,S,2025-09-08T03:45:00.000,4315.65,2025-09-08T04:05:00.000,4302.123650048736,VWAP,0.2134,5.34
ETH,QR7_A,S,2025-09-08T09:20:00.000,4323.38,2025-09-08T11:25:00.000,4306.834534956869,VWAP,0.2827,7.07
ETH,QR7_A,S,2025-09-08T13:25:00.000,4339.82,2025-09-08T13:55:00.000,4313.936606581843,VWAP,0.4964,12.41
ETH,QR7_A,S,2025-09-08T14:40:00.000,4346.39,2025-09-08T15:15:00.000,4376.456290757902,SL,-0.7918,-19.79
ETH,QR7_A,S,2025-09-08T15:40:00.000,4366.68,2025-09-08T17:40:00.000,4324.802409336627,VWAP,0.859,21.48
ETH,QR7_A,L,2025-09-09T01:20:00.000,4288.9,2025-09-09T02:25:00.000,4276.211197292937,SL,-0.3959,-9.9
ETH,QR7_A,S,2025-09-09T04:25:00.000,4309.5,2025-09-09T06:00:00.000,4322.657100831489,SL,-0.4053,-10.13
ETH,QR7_A,S,2025-09-09T06:30:00.000,4344.12,2025-09-09T06:35:00.000,4365.350042212971,SL,-0.5887,-14.72
ETH,QR7_A,S,2025-09-09T06:45:00.000,4359.45,2025-09-09T12:00:00.000,4334.241394552841,VWAP,0.4783,11.96
ETH,QR7_A,S,2025-09-10T01:40:00.000,4302.23,2025-09-10T01:45:00.000,4296.8620929711515,VWAP,0.0248,0.62
ETH,QR7_A,S,2025-09-10T02:05:00.000,4310.26,2025-09-10T02:25:00.000,4320.474356392875,SL,-0.337,-8.42
ETH,QR7_A,S,2025-09-10T02:40:00.000,4315.46,2025-09-10T03:25:00.000,4305.030978270293,VWAP,0.1417,3.54
ETH,QR7_A,S,2025-09-10T07:35:00.000,4323.99,2025-09-10T09:05:00.000,4312.169467816652,VWAP,0.1734,4.33
ETH,QR7_A,S,2025-09-10T12:20:00.000,4334.27,2025-09-10T12:30:00.000,4350.173109720759,SL,-0.4669,-11.67
ETH,QR7_A,S,2025-09-10T12:40:00.000,4363.83,2025-09-10T13:45:00.000,4413.102299146532,SL,-1.2291,-30.73
ETH,QR7_A,S,2025-09-10T13:55:00.000,4407.67,2025-09-10T16:25:00.000,4366.134047532685,VWAP,0.8424,21.06
ETH,QR7_A,S,2025-09-11T04:00:00.000,4402.01,2025-09-11T05:40:00.000,4423.695538770975,SL,-0.5926,-14.82
ETH,QR7_A,L,2025-09-11T12:35:00.000,4399.57,2025-09-11T12:35:00.000,4413.47908256174,VWAP,0.2161,5.4
ETH,QR7_A,S,2025-09-11T22:55:00.000,4457.1,2025-09-11T23:55:00.000,4456.86,EOD,-0.0946,-2.37
ETH,QR7_A,S,2025-09-12T05:55:00.000,4542.07,2025-09-12T08:15:00.000,4516.188278825011,VWAP,0.4698,11.75
ETH,QR7_A,S,2025-09-12T14:15:00.000,4544.61,2025-09-12T17:15:00.000,4580.455024942749,SL,-0.8887,-22.22
ETH,QR7_A,S,2025-09-12T20:20:00.000,4637.66,2025-09-12T20:50:00.000,4689.125021923073,SL,-1.2097,-30.24
ETH,QR7_A,S,2025-09-12T21:05:00.000,4659.51,2025-09-12T22:20:00.000,4723.087966173177,SL,-1.4645,-36.61
ETH,QR7_A,S,2025-09-12T22:45:00.000,4695.77,2025-09-12T23:55:00.000,4710.83,EOD,-0.4207,-10.52
ETH,QR7_A,S,2025-09-13T01:15:00.000,4719.32,2025-09-13T01:25:00.000,4710.491435610074,VWAP,0.0871,2.18
ETH,QR7_A,L,2025-09-13T02:05:00.000,4693.44,2025-09-13T02:10:00.000,4708.76776983825,VWAP,0.2266,5.66
ETH,QR7_A,S,2025-09-13T03:20:00.000,4722.01,2025-09-13T03:35:00.000,4734.720400265243,SL,-0.3692,-9.23
ETH,QR7_A,S,2025-09-13T03:55:00.000,4757.93,2025-09-13T05:05:00.000,4725.045504143949,VWAP,0.5912,14.78
ETH,QR7_A,L,2025-09-13T14:00:00.000,4684.0,2025-09-13T15:40:00.000,4650.62548946129,SL,-0.8125,-20.31
