coin,method,side,entry_dt,entry,exit_dt,exit,reason,pnl_pct,pnl_usd
BNB,M3_EMAx,S,2025-08-19 16:00:00+00:00,832.59,2025-08-20 16:00:00+00:00,859.3816777067916,SL,-3.3179,-82.95
BNB,M3_EMAx,S,2025-08-21 20:00:00+00:00,836.73,2025-08-22 08:00:00+00:00,849.48,FLIP,-1.6238,-40.59
BNB,M3_EMAx,L,2025-08-22 12:00:00+00:00,849.48,2025-08-24 08:00:00+00:00,861.99,FLIP,1.3727,34.32
BNB,M3_EMAx,S,2025-08-24 12:00:00+00:00,861.99,2025-08-26 20:00:00+00:00,864.16,FLIP,-0.3517,-8.79
BNB,M3_EMAx,L,2025-08-27 00:00:00+00:00,864.17,2025-08-29 08:00:00+00:00,854.97,FLIP,-1.1646,-29.12
BNB,M3_EMAx,S,2025-08-29 12:00:00+00:00,854.97,2025-08-31 00:00:00+00:00,863.62,FLIP,-1.1117,-27.79
BNB,M3_EMAx,L,2025-08-31 04:00:00+00:00,863.61,2025-08-31 04:00:00+00:00,859.01,FLIP,-0.6326,-15.82
BNB,M3_EMAx,S,2025-08-31 08:00:00+00:00,859.0,2025-08-31 16:00:00+00:00,865.1,FLIP,-0.8101,-20.25
BNB,M3_EMAx,L,2025-08-31 20:00:00+00:00,865.1,2025-08-31 20:00:00+00:00,858.08,FLIP,-0.9115,-22.79
BNB,M3_EMAx,S,2025-09-01 00:00:00+00:00,858.09,2025-09-01 04:00:00+00:00,865.94,FLIP,-1.0148,-25.37
BNB,M3_EMAx,L,2025-09-01 08:00:00+00:00,865.93,2025-09-01 08:00:00+00:00,852.48,FLIP,-1.6532,-41.33
BNB,M3_EMAx,S,2025-09-01 12:00:00+00:00,852.48,2025-09-03 08:00:00+00:00,854.33,FLIP,-0.317,-7.93
BNB,M3_EMAx,L,2025-09-03 12:00:00+00:00,854.34,2025-09-04 00:00:00+00:00,849.08,FLIP,-0.7157,-17.89
BNB,M3_EMAx,S,2025-09-04 04:00:00+00:00,849.08,2025-09-05 16:00:00+00:00,851.19,FLIP,-0.3485,-8.71
